current,former,start_date,end_date
Benin,Dahomey,11/8/1959,11/30/1975
Burkina Faso,Upper Volta,4/14/1960,8/4/1984
Curaçao,Netherlands Antilles,3/3/1957,10/10/2010
Czechoslovakia,Bohemia,4/5/1903,1/1/1919
Czechoslovakia,Bohemia and Moravia,1/1/1939,5/1/1945
Czechoslovakia,Representation of Czechs and Slovaks,3/24/1993,11/17/1993
DR Congo,Belgian Congo,5/25/1948,1/2/1956
DR Congo,Congo-Léopoldville,4/12/1963,7/19/1964
DR Congo,Congo-Kinshasa,1/9/1965,11/24/1970
DR Congo,Zaïre,1/10/1971,4/27/1997
Djibouti,French Somaliland,12/5/1947,6/27/1977
Egypt,United Arab Republic,2/22/1958,9/11/1971
Eswatini,Swaziland,5/1/1968,4/19/2018
Ghana,Gold Coast,5/28/1950,3/6/1957
Guinea-Bissau,Portuguese Guinea,6/2/1953,9/24/1973
Guyana,British Guiana,7/21/1905,8/2/1967
Indonesia,Dutch East Indies,5/13/1934,3/4/1951
Israel,Mandatory Palestine,3/16/1934,4/27/1940
Malawi,Nyasaland,8/28/1957,7/4/1964
Malaysia,Malaya,6/20/1948,8/16/1963
Myanmar,Burma,3/14/1952,1/1/1989
North Macedonia,Macedonia,10/13/1993,11/19/2018
Northern Ireland,Ireland,1882-02-18,4/11/1956
Republic of Ireland,Irish Free State,5/28/1924,12/6/1936
Republic of Ireland,Éire,1/1/1937,3/25/1953
Russia,Soviet Union,11/16/1924,11/13/1991
Russia,CIS,1/25/1992,6/18/1992
Samoa,Western Samoa,8/31/1979,11/15/1996
Serbia,FR Yugoslavia,12/23/1994,2/3/2003
Serbia,Serbia and Montenegro,2/4/2003,6/21/2006
Sri Lanka,Ceylon,3/24/1952,5/22/1972
Suriname,Dutch Guyana,1/28/1921,11/25/1975
Tanzania,Tanganyika,1/1/1945,4/26/1964
Vanuatu,New Hebrides,10/4/1951,7/30/1980
Zambia,Northern Rhodesia,2/22/1947,10/25/1964
Zimbabwe,Southern Rhodesia,6/16/1946,4/18/1980
