date,home_team,away_team,winner,first_shooter
1967-08-22,India,Taiwan,Taiwan,Unknown
1971-11-14,South Korea,Vietnam Republic,South Korea,Unknown
1972-05-07,South Korea,Iraq,Iraq,Unknown
1972-05-17,Thailand,South Korea,South Korea,Unknown
1972-05-19,Thailand,Cambodia,Thailand,Unknown
1973-04-21,Senegal,Ghana,Ghana,Unknown
1973-06-14,Guinea,Mali,Guinea,Unknown
1973-06-14,Mauritius,Tanzania,Mauritius,Unknown
1973-07-26,Malaysia,Kuwait,Malaysia,Unknown
1973-07-26,Cambodia,Singapore,Singapore,Unknown
1973-07-27,Bangladesh,Thailand,Thailand,Unknown
1973-07-28,Myanmar,South Korea,Myanmar,Unknown
1973-08-09,India,Vietnam Republic,Vietnam Republic,Unknown
1973-08-23,Algeria,Syria,Syria,Unknown
1973-08-25,Algeria,Iraq,Algeria,Unknown
1973-09-06,Singapore,Vietnam Republic,Vietnam Republic,Unknown
1974-03-28,Qatar,United Arab Emirates,Qatar,Unknown
1974-07-24,Hong Kong,Indonesia,Indonesia,Unknown
1974-08-01,India,Indonesia,Indonesia,Unknown
1974-10-09,Syria,Morocco,Morocco,Unknown
1974-11-22,Libya,Tunisia,Tunisia,Unknown
1974-12-18,South Korea,Malaysia,South Korea,Unknown
1975-07-13,Morocco,Ghana,Morocco,Unknown
1975-11-09,Kenya,Malawi,Kenya,Unknown
1975-12-09,Thailand,Malaysia,Thailand,Unknown
1975-12-23,Libya,Syria,Syria,Unknown
1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia
1976-12-22,South Korea,Malaysia,Malaysia,Unknown
1977-01-09,Tunisia,Morocco,Tunisia,Unknown
1977-03-22,Argentina,Iran,Argentina,Unknown
1977-06-26,Zambia,Algeria,Zambia,Unknown
1977-07-27,Iran,Morocco,Iran,Unknown
1977-08-31,Paraguay,Argentina,Paraguay,Unknown
1979-01-13,Guinea-Bissau,Mali,Mali,Unknown
1979-01-14,Guinea-Bissau,Guinea,Guinea,Unknown
1979-04-29,Cameroon,Guinea,Guinea,Unknown
1979-05-22,Argentina,Netherlands,Argentina,Argentina
1979-08-31,Seychelles,Mauritius,Seychelles,Unknown
1979-09-29,Indonesia,Thailand,Indonesia,Unknown
1980-02-16,Gambia,Mauritania,Gambia,Unknown
1980-03-19,Algeria,Egypt,Algeria,Unknown
1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy
1980-07-12,Nigeria,Tunisia,Nigeria,Unknown
1980-11-30,Zambia,Morocco,Morocco,Unknown
1980-12-31,Hong Kong,China,China,Unknown
1981-02-13,Mali,Guinea,Guinea,Unknown
1981-05-10,Rwanda,Ethiopia,Ethiopia,Unknown
1981-12-13,Malaysia,Singapore,Malaysia,Unknown
1982-02-21,Ivory Coast,Togo,Togo,Unknown
1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso,Unknown
1982-03-19,Libya,Ghana,Ghana,Unknown
1982-05-15,Thailand,Singapore,Thailand,Unknown
1982-05-17,Thailand,South Korea,Thailand,Unknown
1982-07-08,Germany,France,Germany,France
1982-10-17,Indonesia,Malaysia,Indonesia,Unknown
1982-11-27,Uganda,Kenya,Kenya,Unknown
1983-02-06,Senegal,Niger,Senegal,Unknown
1983-02-20,Gambia,Sierra Leone,Gambia,Unknown
1983-02-27,Mali,Guinea,Mali,Unknown
1983-04-22,Egypt,Congo,Egypt,Unknown
1983-04-24,Mauritius,Ethiopia,Ethiopia,Unknown
1983-06-04,Thailand,Malaysia,Thailand,Unknown
1983-07-18,Hong Kong,Thailand,Thailand,Unknown
1983-08-28,Morocco,Nigeria,Nigeria,Unknown
1983-12-15,Ivory Coast,Mali,Ivory Coast,Unknown
1983-12-18,Mali,Nigeria,Mali,Unknown
1984-02-16,Sierra Leone,Mali,Sierra Leone,Unknown
1984-02-19,Sierra Leone,Senegal,Senegal,Unknown
1984-03-14,Egypt,Nigeria,Nigeria,Unknown
1984-03-14,Algeria,Cameroon,Cameroon,Unknown
1984-03-28,Iraq,Qatar,Iraq,Unknown
1984-06-24,Denmark,Spain,Spain,Denmark
1984-07-15,Senegal,Angola,Angola,Unknown
1984-11-23,Kenya,Somalia,Kenya,Unknown
1984-11-28,Ghana,Togo,Ghana,Unknown
1984-12-08,Kenya,Somalia,Kenya,Unknown
1984-12-13,Saudi Arabia,Iran,Saudi Arabia,Unknown
1984-12-15,Malawi,Zambia,Zambia,Unknown
1984-12-16,Iran,Kuwait,Kuwait,Unknown
1984-12-16,Chad,Equatorial Guinea,Chad,Unknown
1984-12-19,Central African Republic,Gabon,Gabon,Unknown
1984-12-20,Congo,Cameroon,Cameroon,Unknown
1985-04-16,Mozambique,Malawi,Mozambique,Unknown
1985-04-21,Madagascar,Egypt,Egypt,Unknown
1985-07-10,Bahrain,Qatar,Bahrain,Unknown
1985-07-12,Saudi Arabia,Qatar,Saudi Arabia,Unknown
1985-08-25,Mali,Guinea,Guinea,Unknown
1985-08-31,Mauritius,Réunion,Mauritius,Unknown
1985-09-15,Mozambique,Libya,Mozambique,Unknown
1985-10-11,Kenya,Uganda,Kenya,Unknown
1985-12-15,Singapore,Malaysia,Singapore,Unknown
1985-12-25,Pakistan,Nepal,Nepal,Unknown
1985-12-25,Bangladesh,India,India,Unknown
1986-03-21,Egypt,Cameroon,Egypt,Unknown
1986-06-21,Brazil,France,France,Brazil
1986-06-21,Mexico,Germany,Germany,Germany
