text,source
on 1872-11-30 scotland played against england in the friendly in glasgow scotland the final score was scotland 0 and england 0,match_result
on 1873-03-08 england played against scotland in the friendly in london england the final score was england 4 and scotland 2,match_result
on 1874-03-07 scotland played against england in the friendly in glasgow scotland the final score was scotland 2 and england 1,match_result
on 1875-03-06 england played against scotland in the friendly in london england the final score was england 2 and scotland 2,match_result
on 1876-03-04 scotland played against england in the friendly in glasgow scotland the final score was scotland 3 and england 0,match_result
on 1876-03-25 scotland played against wales in the friendly in glasgow scotland the final score was scotland 4 and wales 0,match_result
on 1877-03-03 england played against scotland in the friendly in london england the final score was england 1 and scotland 3,match_result
on 1877-03-05 wales played against scotland in the friendly in wrexham wales the final score was wales 0 and scotland 2,match_result
on 1878-03-02 scotland played against england in the friendly in glasgow scotland the final score was scotland 7 and england 2,match_result
on 1878-03-23 scotland played against wales in the friendly in glasgow scotland the final score was scotland 9 and wales 0,match_result
on 1879-01-18 england played against wales in the friendly in london england the final score was england 2 and wales 1,match_result
on 1879-04-05 england played against scotland in the friendly in london england the final score was england 5 and scotland 4,match_result
on 1879-04-07 wales played against scotland in the friendly in wrexham wales the final score was wales 0 and scotland 3,match_result
on 1880-03-13 scotland played against england in the friendly in glasgow scotland the final score was scotland 5 and england 4,match_result
on 1880-03-15 wales played against england in the friendly in wrexham wales the final score was wales 2 and england 3,match_result
on 1880-03-27 scotland played against wales in the friendly in glasgow scotland the final score was scotland 5 and wales 1,match_result
on 1881-02-26 england played against wales in the friendly in blackburn england the final score was england 0 and wales 1,match_result
on 1881-03-12 england played against scotland in the friendly in london england the final score was england 1 and scotland 6,match_result
on 1881-03-14 wales played against scotland in the friendly in wrexham wales the final score was wales 1 and scotland 5,match_result
on 1882-02-18 northern ireland played against england in the friendly in belfast ireland the final score was northern ireland 0 and england 13,match_result
on 1882-02-25 wales played against northern ireland in the friendly in wrexham wales the final score was wales 7 and northern ireland 1,match_result
on 1882-03-11 scotland played against england in the friendly in glasgow scotland the final score was scotland 5 and england 1,match_result
on 1882-03-13 wales played against england in the friendly in wrexham wales the final score was wales 5 and england 3,match_result
on 1882-03-25 scotland played against wales in the friendly in glasgow scotland the final score was scotland 5 and wales 0,match_result
on 1883-02-03 england played against wales in the friendly in london england the final score was england 5 and wales 0,match_result
on 1883-02-24 england played against northern ireland in the friendly in liverpool england the final score was england 7 and northern ireland 0,match_result
on 1883-03-10 england played against scotland in the friendly in sheffield england the final score was england 2 and scotland 3,match_result
on 1883-03-12 wales played against scotland in the friendly in wrexham wales the final score was wales 0 and scotland 3,match_result
on 1883-03-17 northern ireland played against wales in the friendly in belfast ireland the final score was northern ireland 1 and wales 1,match_result
on 1884-01-26 northern ireland played against scotland in the british home championship in belfast ireland the final score was northern ireland 0 and scotland 5,match_result
on 1884-02-09 wales played against northern ireland in the british home championship in wrexham wales the final score was wales 6 and northern ireland 0,match_result
on 1884-02-23 northern ireland played against england in the british home championship in belfast ireland the final score was northern ireland 1 and england 8,match_result
on 1884-03-15 scotland played against england in the british home championship in glasgow scotland the final score was scotland 1 and england 0,match_result
on 1884-03-17 wales played against england in the british home championship in wrexham wales the final score was wales 0 and england 4,match_result
on 1884-03-29 scotland played against wales in the british home championship in glasgow scotland the final score was scotland 4 and wales 1,match_result
on 1885-02-28 england played against northern ireland in the british home championship in manchester england the final score was england 4 and northern ireland 0,match_result
on 1885-03-14 england played against wales in the british home championship in blackburn england the final score was england 1 and wales 1,match_result
on 1885-03-14 scotland played against northern ireland in the british home championship in glasgow scotland the final score was scotland 8 and northern ireland 2,match_result
on 1885-03-21 england played against scotland in the british home championship in london england the final score was england 1 and scotland 1,match_result
on 1885-03-23 wales played against scotland in the british home championship in wrexham wales the final score was wales 1 and scotland 8,match_result
on 1885-04-11 northern ireland played against wales in the british home championship in belfast ireland the final score was northern ireland 2 and wales 8,match_result
on 1885-11-28 united states played against canada in the friendly in newark united states the final score was united states 0 and canada 1,match_result
on 1886-02-27 wales played against northern ireland in the british home championship in wrexham wales the final score was wales 5 and northern ireland 0,match_result
on 1886-03-13 northern ireland played against england in the british home championship in belfast ireland the final score was northern ireland 1 and england 6,match_result
on 1886-03-20 northern ireland played against scotland in the british home championship in belfast ireland the final score was northern ireland 2 and scotland 7,match_result
on 1886-03-27 scotland played against england in the british home championship in glasgow scotland the final score was scotland 1 and england 1,match_result
on 1886-03-29 wales played against england in the british home championship in wrexham wales the final score was wales 1 and england 3,match_result
on 1886-04-10 scotland played against wales in the british home championship in glasgow scotland the final score was scotland 4 and wales 1,match_result
on 1886-11-25 united states played against canada in the friendly in newark united states the final score was united states 3 and canada 2,match_result
on 1887-02-05 england played against northern ireland in the british home championship in sheffield england the final score was england 7 and northern ireland 0,match_result
on 1887-02-19 scotland played against northern ireland in the british home championship in glasgow scotland the final score was scotland 4 and northern ireland 1,match_result
on 1887-02-26 england played against wales in the british home championship in london england the final score was england 4 and wales 0,match_result
on 1887-03-12 northern ireland played against wales in the british home championship in belfast ireland the final score was northern ireland 4 and wales 1,match_result
on 1887-03-19 england played against scotland in the british home championship in blackburn england the final score was england 2 and scotland 3,match_result
on 1887-03-21 wales played against scotland in the british home championship in wrexham wales the final score was wales 0 and scotland 2,match_result
on 1888-02-04 england played against wales in the british home championship in crewe england the final score was england 5 and wales 1,match_result
on 1888-03-03 wales played against northern ireland in the british home championship in wrexham wales the final score was wales 11 and northern ireland 0,match_result
on 1888-03-10 scotland played against wales in the british home championship in edinburgh scotland the final score was scotland 5 and wales 1,match_result
on 1888-03-17 scotland played against england in the british home championship in glasgow scotland the final score was scotland 0 and england 5,match_result
on 1888-03-24 northern ireland played against scotland in the british home championship in belfast ireland the final score was northern ireland 2 and scotland 10,match_result
on 1888-04-07 northern ireland played against england in the british home championship in belfast ireland the final score was northern ireland 1 and england 5,match_result
on 1888-09-19 scotland played against canada in the friendly in glasgow scotland the final score was scotland 4 and canada 0,match_result
on 1889-02-23 england played against wales in the british home championship in stoke-on-trent england the final score was england 4 and wales 1,match_result
on 1889-03-02 england played against northern ireland in the british home championship in liverpool england the final score was england 6 and northern ireland 1,match_result
on 1889-03-09 scotland played against northern ireland in the british home championship in glasgow scotland the final score was scotland 7 and northern ireland 0,match_result
on 1889-04-13 england played against scotland in the british home championship in london england the final score was england 2 and scotland 3,match_result
on 1889-04-15 wales played against scotland in the british home championship in wrexham wales the final score was wales 0 and scotland 0,match_result
on 1889-04-27 northern ireland played against wales in the british home championship in belfast ireland the final score was northern ireland 1 and wales 3,match_result
on 1890-02-08 wales played against northern ireland in the british home championship in shrewsbury england the final score was wales 5 and northern ireland 2,match_result
on 1890-03-15 northern ireland played against england in the british home championship in belfast ireland the final score was northern ireland 1 and england 9,match_result
on 1890-03-15 wales played against england in the british home championship in wrexham wales the final score was wales 1 and england 3,match_result
on 1890-03-22 scotland played against wales in the british home championship in paisley scotland the final score was scotland 5 and wales 0,match_result
on 1890-03-29 northern ireland played against scotland in the british home championship in belfast ireland the final score was northern ireland 1 and scotland 4,match_result
on 1890-04-05 scotland played against england in the british home championship in glasgow scotland the final score was scotland 1 and england 1,match_result
on 1891-02-07 northern ireland played against wales in the british home championship in belfast ireland the final score was northern ireland 7 and wales 2,match_result
on 1891-03-07 england played against wales in the british home championship in sunderland england the final score was england 4 and wales 1,match_result
on 1891-03-07 england played against northern ireland in the british home championship in wolverhampton england the final score was england 6 and northern ireland 1,match_result
on 1891-03-21 wales played against scotland in the british home championship in wrexham wales the final score was wales 3 and scotland 4,match_result
on 1891-03-28 scotland played against northern ireland in the british home championship in glasgow scotland the final score was scotland 2 and northern ireland 1,match_result
on 1891-04-04 england played against scotland in the british home championship in blackburn england the final score was england 2 and scotland 1,match_result
on 1892-02-27 wales played against northern ireland in the british home championship in bangor wales the final score was wales 1 and northern ireland 1,match_result
on 1892-03-05 northern ireland played against england in the british home championship in belfast ireland the final score was northern ireland 0 and england 2,match_result
on 1892-03-05 wales played against england in the british home championship in wrexham wales the final score was wales 0 and england 2,match_result
on 1892-03-19 northern ireland played against scotland in the british home championship in belfast ireland the final score was northern ireland 2 and scotland 3,match_result
on 1892-03-26 scotland played against wales in the british home championship in edinburgh scotland the final score was scotland 6 and wales 1,match_result
on 1892-04-02 scotland played against england in the british home championship in glasgow scotland the final score was scotland 1 and england 4,match_result
on 1893-02-25 england played against northern ireland in the british home championship in birmingham england the final score was england 6 and northern ireland 1,match_result
on 1893-03-13 england played against wales in the british home championship in stoke-on-trent england the final score was england 6 and wales 0,match_result
